,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
595,0,0,0,0,5,12,12,12,7,0
596,0,0,6,12,8,0,0,0,0,0
597,0,0,0,0,2,12,12,12,12,12
598,0,0,0,0,2,12,12,12,12,11
599,4,12,12,8,0,0,0,0,0,0
600,4,12,12,8,0,0,0,0,0,0
601,4,12,12,8,0,0,0,0,0,0
602,4,12,12,8,0,0,0,0,0,0
603,0,0,0,0,2,12,12,12,12,11
604,3,12,12,8,0,0,0,0,0,0
605,3,12,12,8,0,0,0,0,0,0
606,0,0,0,0,2,12,12,12,12,11
607,2,12,12,9,0,0,0,0,0,0
608,0,0,0,0,2,12,12,12,12,12
609,0,12,12,9,0,0,0,0,0,0
610,0,12,12,9,0,0,0,0,0,0
611,1,11,12,9,0,0,0,0,0,0
612,0,11,0,0,0,0,0,0,0,0
613,0,11,12,9,0,0,0,0,0,0
614,0,9,12,11,0,0,0,0,0,0
615,0,9,12,11,0,0,0,0,0,0
616,0,1,0,0,0,0,0,0,0,0
617,0,9,12,12,0,0,0,0,0,0
618,0,9,12,11,0,0,0,0,0,0
619,0,0,6,12,7,0,0,0,0,0
620,0,0,6,12,7,0,0,0,0,0
621,0,0,6,12,8,0,0,0,0,0
622,0,0,5,12,8,0,0,0,0,0
623,0,0,5,12,8,0,0,0,0,0
624,0,0,5,12,8,0,0,0,0,0
625,0,0,0,0,4,12,12,12,4,0
626,0,0,0,0,2,12,12,12,12,11
627,11,12,12,3,0,0,0,0,0,0
628,11,12,12,3,0,0,0,0,0,0
629,10,12,12,3,0,0,0,0,0,0
