,site,trap,X,Y,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
538,TMES,CT-TDM-1-18,2352621.155,4060926.602,0,0,1,0,0,0,NA,NA,NA,NA
539,TMES,CT-TDM-1-19,2353553.882,4062129.321,NA,0,0,0,0,0,NA,NA,NA,NA
540,TMES,CT-TDM-1-21,2350568.88,4056410.189,0,0,0,0,0,0,NA,NA,NA,NA
541,TMES,CT-TDM-1-22,2349567.226,4055033.911,0,0,0,0,0,0,NA,NA,NA,NA
542,TMES,CT-TDM-1-23,2348578.115,4053733.476,0,1,1,0,0,0,NA,NA,NA,NA
543,TMES,CT-TDM-1-24,2347660.624,4052526.764,0,0,0,0,0,0,NA,NA,NA,NA
544,TMES,CT-TDM-1-26,2351580.37,4057665.173,0,0,0,0,0,0,NA,NA,NA,NA
545,TMES,CT-TDM-1-27,2352403.49,4058925.274,0,0,0,1,0,0,NA,NA,NA,NA
546,TMES,CT-TDM-1-28,2353373.467,4060237.447,0,0,0,0,0,0,NA,NA,NA,NA
547,TMES,CT-TDM-1-29,2354374.137,4061575.705,0,0,1,0,0,0,NA,NA,NA,NA
548,TMES,CT-TDM-1-31,2350104.97,4054069.704,0,0,0,0,1,0,NA,NA,NA,NA
549,TMES,CT-TDM-1-32,2349337.544,4053016.934,0,0,0,0,0,0,NA,NA,NA,NA
550,TMES,CT-TDM-1-33,2348430.207,4051841.4,0,0,0,0,0,0,NA,NA,NA,NA
551,TMES,CT-TDM-1-36,2352246.297,4056978.885,0,0,0,0,0,0,NA,NA,NA,NA
552,TMES,CT-TDM-1-37,2353201.856,4058326.223,0,1,1,0,0,0,NA,NA,NA,NA
553,TMES,CT-TDM-1-41,2353170.28,4056710.075,1,0,0,1,0,0,NA,NA,NA,NA
554,TMES,CT-TDM-1-42,2354119.634,4057809.693,0,0,1,0,1,0,NA,NA,NA,NA
555,TMES,CT-TDM-1-43,2355038.385,4059176.828,0,0,0,0,0,0,NA,NA,NA,NA
556,TMES,CT-TDM-1-44,2355925.92,4060396.336,0,0,1,1,1,0,NA,NA,NA,NA
557,TMES,CT-TDM-1-46,2355837.211,4058509.286,0,1,1,0,0,0,NA,NA,NA,NA
558,TMES,CT-TDM-1-47,2356765.151,4059832.974,0,0,0,1,0,0,NA,NA,NA,NA
559,TMES,CT-TDM-1-48,2357724.58,4061112.721,0,0,0,0,0,0,NA,NA,NA,NA
560,TMES,CT-TDM-1-51,2356571.245,4057945.149,0,0,0,0,0,0,NA,NA,NA,NA
561,TMES,CT-TDM-1-52,2357520.833,4059222.226,0,1,0,1,1,0,NA,NA,NA,NA
562,TMES,CT-TDM-1-53,2358511.321,4060545.958,0,0,0,0,0,0,NA,NA,NA,NA
563,TMES,CT-TDM-1-54,2359457.6,4061867.22,0,0,0,0,1,0,NA,NA,NA,NA
564,TMES,CT-TDM-1-61,2358296.428,4058660.704,1,0,0,0,1,0,NA,NA,NA,NA
565,TMES,CT-TDM-1-62,2359316.278,4060041.697,0,1,1,0,0,1,NA,NA,NA,NA
566,TMES,CT-TDM-1-63,2360312.243,4061315.834,0,0,0,0,0,0,NA,NA,NA,NA
567,TMES,CT-TDM-1-64,2361209.461,4062555.515,0,0,0,0,1,0,NA,NA,NA,NA
568,TMES,CT-TDM-1-66,2358166.232,4056761.98,0,0,1,0,1,0,NA,NA,NA,NA
569,TMES,CT-TDM-1-67,2359156.288,4058091.584,1,0,0,0,0,0,NA,NA,NA,NA
570,TMES,CT-TDM-1-68,2360079.07,4059325.935,0,0,0,0,0,0,NA,NA,NA,NA
571,TMES,CT-TDM-1-72,2357021.342,4053546.269,0,0,1,0,0,0,NA,NA,NA,NA
572,TMES,CT-TDM-1-73,2356054.675,4052227.134,0,0,0,0,0,0,NA,NA,NA,NA
573,TMES,CT-TDM-1-74,2355072.284,4050889.371,1,1,1,0,0,0,NA,NA,NA,NA
