kamera,region,dist_fluss,seehoehe,x,y
F44B,PNCA,921.5646844,63.62068966,-60.88844,-8.59572
F45,PNCA,390.4868043,63.64452645,-60.914247,-8.024928
F45B,PNCA,96.86288434,59.52141983,-60.932084,-8.454761
F46,PNCA,1106.708017,63.04289216,-60.937634,-8.046665
F46B,PNCA,498.0644355,55.88257108,-60.913203,-8.454326
F47,PNCA,92.98145744,59.40617284,-61.029228,-8.360431
F47B,PNCA,646.3043096,56.71867322,-60.974484,-8.594816
F48,PNCA,1329.781865,63.35635019,-61.047317,-8.358777
F48B,PNCA,2434.776642,59.38413879,-60.95006,-8.59245
F49,PNCA,710.5165313,111.2738538,-61.055036,-8.206707
F49B,PNCA,443.1880812,102.0800493,-60.984001,-8.469712
F50,PNCA,1014.792271,100.6658477,-60.9732,-8.211141
F50B,PNCA,780.2596502,112.3296296,-60.988984,-8.385701
F51,PNCA,2476.457669,106.3839506,-60.992595,-8.22496
F51B,PNCA,3088.769122,99.30306748,-60.96719,-8.389841
F52,PNCA,394.3026947,105.0110294,-60.931151,-8.247584
F52B,PNCA,1804.549509,111.2692778,-60.947677,-8.388939
F53,PNCA,328.6208553,113.9914005,-60.895189,-8.247884
F53B,PNCA,2513.560143,103.2779828,-60.9832,-8.323348
F54,PNCA,69.78696469,98.57019704,-61.001776,-8.358532
F54B,PNCA,0,97.8566131,-61.039343,-8.219677
F55,PNCA,0,98.26650062,-60.972304,-8.285659
F56,PNCA,1455.286052,105.8552147,-60.898395,-8.027699
F56B,PNCA,3771.846049,89.59332509,-60.940193,-8.416379
F57,PNCA,215.0274849,94.42255266,-60.961971,-8.007327
F57B,PNCA,3132.13208,101.1506173,-60.915732,-8.408115
F58,PNCA,521.1572873,91.04202719,-60.940836,-7.978381
F58B,PNCA,1101.039191,97.15147783,-60.90675,-8.55123
F59,PNCA,1234.482328,108.8014797,-60.988566,-7.998966
F59B,PNCA,534.4858524,105.7770936,-60.970058,-8.269526
F60,PNCA,984.4099332,103.9526775,-61.014475,-7.986708
FN1,PNM,1266.265112,103.8506173,-64.30833,-8.61826
Fn11,PNM,0,106.6740196,-64.63586,-8.97412
FN2,PNM,1760.085199,92.97177914,-64.40244,-8.7874
FN3,PNM,2859.344097,102.3197026,-64.37585,-8.79265
FN4,PNM,2128.793717,72.23362176,-64.4155,-8.82525
FN5,PNM,1351.146101,76.07371007,-64.4351,-8.84448
MANEJO1,PNCA,2978.237569,104.6222222,-61.101581,-8.064946
MANEJO2,PNCA,1963.854391,101.5647349,-61.107425,-8.073505
MANEJO3,PNCA,2686.914961,109.0184049,-61.08617,-8.070134
REMJ1,REMJ,1760.08661,82.73152709,-67.74927,-6.05742
REMJ10,REMJ,0,121.4405941,-67.90218,-5.75797
REMJ11,REMJ,2352.73671,98.43226601,-67.72262,-5.75593
REMJ12,REMJ,5.522222174,113.8261406,-67.68793,-5.52134
REMJ13,REMJ,703.8490472,127.1273177,-67.56887,-5.65502
